"#","sex  ","  age","address  ","pstatus  ","  medu","mjob    ","  fedu","fjob    ","guardian  ","famsize  ","  famrel","reason    ","  traveltime","  studytime","  failures","schoolsup  ","famsup  ","activities  ","paidclass  ","internet  ","  freetime","  walc","  dalc","  health","  absences","  mean"
"1","M    ","   21","U        ","A        ","     1","services","     2","services","other     ","LE3      ","       1","home      ","           3","          2","         2","no         ","no      ","no          ","yes        ","no        ","         1","     3","     2","       2","        29","    21"
"2","M    ","   16","R        ","A        ","     0","health  ","     2","teacher ","other     ","LE3      ","       1","other     ","           2","          2","         2","yes        ","no      ","no          ","no         ","no        ","         3","     4","     4","       2","        23","     8"
"3","F    ","   17","U        ","A        ","     3","teacher ","     0","teacher ","mother    ","GT3      ","       1","other     ","           1","          2","         3","yes        ","no      ","yes         ","no         ","no        ","         2","     3","     2","       3","        66","     6"
"4","M    ","   19","R        ","T        ","     1","other   ","     2","teacher ","father    ","LE3      ","       4","other     ","           2","          3","         3","yes        ","yes     ","no          ","no         ","no        ","         3","     3","     4","       1","        80","    98"
"5","M    ","   19","R        ","A        ","     2","other   ","     2","services","father    ","GT3      ","       1","course    ","           2","          1","         1","no         ","no      ","yes         ","no         ","no        ","         3","     1","     2","       2","        19","    34"
"6","F    ","   17","R        ","T        ","     1","teacher ","     3","other   ","mother    ","GT3      ","       4","home      ","           1","          1","         1","yes        ","no      ","no          ","no         ","yes       ","         3","     1","     2","       4","        11","    19"
"7","M    ","   21","U        ","T        ","     1","other   ","     1","services","other     ","GT3      ","       4","reputation","           1","          2","         3","yes        ","yes     ","no          ","no         ","yes       ","         3","     2","     3","       3","        51","    92"
"8","F    ","   17","R        ","A        ","     0","teacher ","     1","services","other     ","GT3      ","       4","other     ","           2","          3","         2","yes        ","no      ","no          ","yes        ","yes       ","         4","     1","     1","       4","        15","    26"
"9","M    ","   20","R        ","T        ","     2","health  ","     3","teacher ","other     ","LE3      ","       3","home      ","           3","          3","         2","yes        ","yes     ","yes         ","no         ","yes       ","         2","     2","     3","       3","        68","    25"
"10","F    ","   18","U        ","A        ","     0","other   ","     2","health  ","other     ","GT3      ","       3","home      ","           2","          2","         2","yes        ","no      ","no          ","no         ","no        ","         4","     2","     1","       3","        28","    61"
"11","M    ","   18","R        ","A        ","     0","other   ","     3","at_home ","father    ","GT3      ","       2","home      ","           3","          2","         2","yes        ","no      ","yes         ","yes        ","no        ","         4","     1","     4","       3","        37","    67"
"12","F    ","   15","R        ","A        ","     3","other   ","     1","services","mother    ","GT3      ","       3","home      ","           1","          2","         2","no         ","yes     ","no          ","no         ","yes       ","         2","     1","     1","       4","        57","    67"
"13","F    ","   18","R        ","T        ","     0","other   ","     1","teacher ","mother    ","LE3      ","       3","reputation","           2","          1","         3","yes        ","no      ","no          ","yes        ","no        ","         2","     4","     1","       3","        54","    21"
"14","F    ","   17","R        ","A        ","     2","health  ","     2","other   ","father    ","LE3      ","       2","other     ","           1","          1","         2","no         ","no      ","yes         ","no         ","no        ","         2","     4","     1","       4","        64","    97"
"15","M    ","   15","R        ","A        ","     1","health  ","     3","services","mother    ","GT3      ","       3","home      ","           1","          1","         3","yes        ","yes     ","yes         ","yes        ","yes       ","         4","     1","     4","       3","        71","    96"
"16","F    ","   17","U        ","T        ","     1","teacher ","     0","at_home ","other     ","GT3      ","       2","other     ","           1","          2","         2","yes        ","yes     ","yes         ","yes        ","yes       ","         2","     3","     1","       1","        59","    48"
"17","M    ","   17","U        ","A        ","     1","services","     1","at_home ","other     ","LE3      ","       3","other     ","           2","          1","         3","yes        ","yes     ","yes         ","yes        ","yes       ","         1","     1","     3","       3","        67","    31"
