Student,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,internet,famrel,freetime,Dalc,Walc,health,absences,G1,G2,G3,Mean
1,F,18,U,GT3,A,4,4,at_home,teacher,course,mother,2,2,0,yes,no,no,no,no,4,3,1,1,3,6,25,30,30,28
2,F,17,U,GT3,T,1,1,at_home,other,course,father,1,2,0,no,yes,no,no,yes,5,3,1,1,3,4,25,25,30,27
3,F,15,U,LE3,T,1,1,at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,4,3,2,3,3,10,35,40,50,42
4,F,15,U,GT3,T,4,2,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,3,2,1,1,5,2,75,70,75,73
5,F,16,U,GT3,T,3,3,other,other,home,father,1,2,0,no,yes,yes,no,no,4,3,1,2,5,4,30,50,50,43
6,M,16,U,LE3,T,4,3,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,5,4,1,2,5,10,75,75,75,75
7,M,16,U,LE3,T,2,2,other,other,home,mother,1,2,0,no,no,no,no,yes,4,4,1,1,3,0,60,60,55,58
8,F,17,U,GT3,A,4,4,other,teacher,home,mother,2,2,0,yes,yes,no,no,no,4,1,1,1,1,6,30,25,30,28
9,M,15,U,LE3,A,3,2,services,other,home,mother,1,2,0,no,yes,yes,no,yes,4,2,1,1,1,0,80,90,95,88
10,M,15,U,GT3,T,3,4,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,5,5,1,1,5,0,70,75,75,73
11,F,15,U,GT3,T,4,4,teacher,health,reputation,mother,1,2,0,no,yes,yes,no,yes,3,3,1,2,2,0,50,40,45,45
12,F,15,U,GT3,T,2,1,services,other,reputation,father,3,3,0,no,yes,no,yes,yes,5,2,1,1,4,4,50,60,60,57
13,M,15,U,LE3,T,4,4,health,services,course,father,1,1,0,no,yes,yes,yes,yes,4,3,1,3,5,2,70,70,70,70
14,M,15,U,GT3,T,4,3,teacher,other,course,mother,2,2,0,no,yes,yes,no,yes,5,4,1,2,3,2,50,50,55,52
15,M,15,U,GT3,A,2,2,other,other,home,other,1,3,0,no,yes,no,no,yes,4,5,1,1,3,0,70,80,80,77
16,F,16,U,GT3,T,4,4,health,other,home,mother,1,1,0,no,yes,no,no,yes,4,4,1,2,2,4,70,70,70,70
17,F,16,U,GT3,T,4,4,services,services,reputation,mother,1,3,0,no,yes,yes,yes,yes,3,2,1,2,2,6,65,70,70,68
18,F,16,U,GT3,T,3,3,other,other,reputation,mother,3,2,0,yes,yes,no,yes,no,5,3,1,1,4,4,40,50,50,47
19,M,17,U,GT3,T,3,2,services,services,course,mother,1,1,3,no,yes,no,yes,yes,5,5,2,4,5,16,30,25,25,27
20,M,16,U,LE3,T,4,3,health,other,home,father,1,1,0,no,no,yes,yes,yes,3,1,1,3,5,4,40,50,50,47
21,M,15,U,GT3,T,4,3,teacher,other,reputation,mother,1,2,0,no,no,no,no,yes,4,4,1,1,1,0,65,70,75,70
22,M,15,U,GT3,T,4,4,health,health,other,father,1,1,0,no,yes,yes,no,yes,5,4,1,1,5,0,60,75,75,70
23,M,16,U,LE3,T,4,2,teacher,other,course,mother,1,2,0,no,no,no,yes,yes,4,5,1,3,5,2,75,75,80,77
24,M,16,U,LE3,T,2,2,other,other,reputation,mother,2,2,0,no,yes,no,yes,yes,5,4,2,4,5,0,65,65,60,63
25,F,15,R,GT3,T,2,4,services,health,course,mother,1,3,0,yes,yes,yes,yes,yes,4,3,1,1,5,2,50,45,40,45
26,F,16,U,GT3,T,2,2,services,services,home,mother,1,1,2,no,yes,yes,no,yes,1,2,1,3,5,14,30,45,40,38
27,M,15,U,GT3,T,2,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,4,2,1,2,5,2,60,60,55,58
28,M,15,U,GT3,T,4,2,health,services,other,mother,1,1,0,no,no,yes,no,yes,2,2,2,4,1,4,75,80,75,77
29,M,16,U,LE3,A,3,4,services,other,home,mother,1,2,0,yes,yes,no,yes,yes,5,3,1,1,5,4,55,55,55,55
30,M,16,U,GT3,T,4,4,teacher,teacher,home,mother,1,2,0,no,yes,yes,yes,yes,4,4,5,5,5,16,50,60,55,55
31,M,15,U,GT3,T,4,4,health,services,home,mother,1,2,0,no,yes,yes,no,yes,5,4,3,4,5,0,45,55,60,53
32,M,15,U,GT3,T,4,4,services,services,reputation,mother,2,2,0,no,yes,no,yes,yes,4,3,1,1,5,0,85,80,85,83
33,M,15,R,GT3,T,4,3,teacher,at_home,course,mother,1,2,0,no,yes,no,yes,yes,4,5,1,1,5,0,85,80,80,82
34,M,15,U,LE3,T,3,3,other,other,course,mother,1,2,0,no,no,no,yes,yes,5,3,1,1,2,0,40,50,60,50
35,M,16,U,GT3,T,3,2,other,other,home,mother,1,1,0,no,yes,yes,no,yes,5,4,1,1,5,0,60,70,75,68
36,F,15,U,GT3,T,2,3,other,other,other,father,2,1,0,no,yes,no,yes,no,3,5,1,1,5,0,40,35,30,35
